# BEEF ########################################################################################################################
# BEEF This line shows the Bayesian error estimations and the current threshold criterion.
# BEEF 
# BEEF nstep ............ MD time step or input structure counter
# BEEF bee_energy ....... BEE of energy per atom (eV atom^-1)
# BEEF bee_max_force .... BEE of forces (max) (eV Angst^-1)
# BEEF bee_ave_force .... BEE of forces (average) (kB)
# BEEF threshold ........ Current value of threshold criterion (eV Angst^-1)
# BEEF bee_max_stress ... BEE of stresses (max) (kB)
# BEEF bee_ave_stress ... BEE of stresses (average) (kB)
# BEEF ########################################################################################################################
# BEEF              nstep       bee_energy    bee_max_force    bee_ave_force        threshold   bee_max_stress   bee_ave_stress
# BEEF                  2                3                4                5                6                7                8
# BEEF ########################################################################################################################
BEEF                   85   1.14514327E-05   9.08501017E-03   3.98997976E-03   1.13926393E-02   3.39915759E-01   2.19760342E-01
BEEF                   86   1.15165227E-05   9.31689946E-03   3.92372113E-03   1.13926393E-02   3.59175648E-01   2.37201522E-01
BEEF                   87   1.16435038E-05   9.52125112E-03   3.89633821E-03   1.13926393E-02   3.80136365E-01   2.58948055E-01
BEEF                   88   1.17699007E-05   9.57910349E-03   3.88791144E-03   1.13926393E-02   3.92087716E-01   2.75466007E-01
BEEF                   89   1.17987671E-05   9.30477919E-03   3.83790835E-03   1.13926393E-02   3.89249037E-01   2.79909542E-01
BEEF                   90   1.16084141E-05   8.71250577E-03   3.73512205E-03   1.13926393E-02   3.66033124E-01   2.65573923E-01
BEEF                   91   1.12516185E-05   8.02650010E-03   3.62490510E-03   1.13926393E-02   3.26365448E-01   2.35401659E-01
BEEF                   92   1.09491341E-05   7.42264645E-03   3.57713817E-03   1.13926393E-02   2.85284458E-01   2.02381038E-01
BEEF                   93   1.07429687E-05   7.04134131E-03   3.61160122E-03   1.13926393E-02   2.48997598E-01   1.73643859E-01
BEEF                   94   1.06481484E-05   7.78321649E-03   3.74572355E-03   1.13926393E-02   2.24115986E-01   1.58118977E-01
BEEF                   95   1.06527270E-05   8.64185198E-03   3.96596819E-03   1.13926393E-02   2.21854625E-01   1.65403644E-01
BEEF                   96   1.07835633E-05   9.49467945E-03   4.25243170E-03   1.13926393E-02   2.57298736E-01   1.97303719E-01
BEEF                   97   1.11545267E-05   1.01870145E-02   4.56248560E-03   1.13926393E-02   3.41769338E-01   2.48927604E-01
BEEF                   98   1.17837704E-05   1.06313745E-02   4.83712313E-03   1.13926393E-02   4.21595301E-01   3.02740304E-01
BEEF                   99   1.24400567E-05   1.07487193E-02   5.00910860E-03   1.13926393E-02   4.81457173E-01   3.44715358E-01
BEEF                  100   1.26176194E-05   1.08571511E-02   4.99479994E-03   1.13926393E-02   4.98390456E-01   3.57767050E-01
BEEF                  101   1.24964897E-05   1.08561795E-02   4.87623048E-03   1.13926393E-02   4.97986177E-01   3.55534049E-01
BEEF                  102   1.21402151E-05   1.06091859E-02   4.67537613E-03   1.13926393E-02   4.90688578E-01   3.40290358E-01
BEEF                  103   1.15845813E-05   1.00123011E-02   4.37413164E-03   1.13926393E-02   4.62761459E-01   3.05748440E-01
BEEF                  104   1.12229043E-05   9.37156029E-03   4.08299367E-03   1.13926393E-02   4.25064576E-01   2.65906254E-01
BEEF                  105   1.12345439E-05   8.74039888E-03   3.85404335E-03   1.13926393E-02   4.05226826E-01   2.38964209E-01
BEEF                  106   1.14835571E-05   8.19343067E-03   3.71345555E-03   1.13926393E-02   3.97582383E-01   2.27499680E-01
BEEF                  107   1.18347577E-05   7.75288773E-03   3.66794527E-03   1.13926393E-02   3.97199896E-01   2.29408113E-01
BEEF                  108   1.23095656E-05   7.75120851E-03   3.76207388E-03   1.13926393E-02   4.11941750E-01   2.44662055E-01
BEEF                  109   1.28809331E-05   8.24591077E-03   3.97719179E-03   1.13926393E-02   4.35838542E-01   2.68369253E-01
BEEF                  110   1.34045184E-05   8.89882517E-03   4.26467964E-03   1.13926393E-02   4.64004210E-01   2.92755544E-01
BEEF                  111   1.39655410E-05   9.67250107E-03   4.62702976E-03   1.13926393E-02   4.96030600E-01   3.18885494E-01
BEEF                  112   1.44321952E-05   1.03928270E-02   4.98383707E-03   1.13926393E-02   5.21223883E-01   3.37266427E-01
BEEF                  113   1.47969771E-05   1.09418961E-02   5.29108727E-03   1.13926393E-02   5.33224676E-01   3.47117251E-01
BEEF                  114   1.50447991E-05   1.14216603E-02   5.52591424E-03   1.13926393E-02   5.34231696E-01   3.49894339E-01
BEEF                  115   1.52796734E-05   1.16915073E-02   5.67241744E-03   1.13926393E-02   5.27438557E-01   3.45032502E-01
BEEF                  116   1.53290317E-05   1.16936558E-02   5.69278988E-03   1.13926393E-02   5.07535017E-01   3.29551434E-01
BEEF                  117   1.53916117E-05   1.16356055E-02   5.67433759E-03   1.13926393E-02   4.92941957E-01   3.16997994E-01
BEEF                  118   1.54880080E-05   1.16935347E-02   5.67275318E-03   1.13926393E-02   4.89344490E-01   3.13116599E-01
BEEF                  119   1.54610985E-05   1.17356062E-02   5.65617573E-03   1.13926393E-02   4.88902682E-01   3.13702054E-01
BEEF                  120   1.54622108E-05   1.17923545E-02   5.69704364E-03   1.13926393E-02   4.91602417E-01   3.20324501E-01
BEEF                  121   1.55394835E-05   1.23424620E-02   5.81494889E-03   1.13926393E-02   4.96532868E-01   3.31323008E-01
BEEF                  122   1.56418655E-05   1.30525128E-02   5.92875692E-03   1.13926393E-02   5.00208986E-01   3.41258435E-01
BEEF                  123   1.57059447E-05   1.36515407E-02   5.99865647E-03   1.13926393E-02   5.00382579E-01   3.48367132E-01
BEEF                  124   1.55409965E-05   1.40281431E-02   5.96676610E-03   1.13926393E-02   4.81821683E-01   3.43183643E-01
BEEF                  125   1.52549295E-05   1.42859720E-02   5.89439818E-03   1.13926393E-02   4.53314484E-01   3.31527985E-01
BEEF                  126   1.49408949E-05   1.45452568E-02   5.80363231E-03   1.13926393E-02   4.26283583E-01   3.16607458E-01
